split,balance,N,classifier,subject,eer,far_at_frr,frr_at_far
session,fixed,10,MLP,s050,0.3132,0.7959999999999999,0.9760000000000002
session,fixed,10,MLP,s051,0.41319999999999996,0.82,0.99
session,fixed,10,MLP,s052,0.0736,0.36639999999999995,0.41
session,fixed,10,MLP,s053,0.3444,0.8952,0.99
session,fixed,10,MLP,s054,0.338,0.7368,0.99
session,fixed,10,MLP,s055,0.1388,0.548,0.942
session,fixed,10,MLP,s056,0.2736,0.8527999999999999,0.9960000000000001
session,fixed,10,MLP,s057,0.38119999999999993,0.8119999999999999,0.9940000000000001
session,fixed,50,k-NN,s002,0.36198220749767673,1.0,1.0
session,fixed,50,k-NN,s003,0.07741121226617201,0.3464,0.82
session,fixed,50,k-NN,s004,0.07792723063565807,0.752,1.0
session,fixed,50,k-NN,s005,0.045193849138660806,0.3136,1.0
session,fixed,50,k-NN,s007,0.12587199232578022,0.9423999999999999,1.0
session,fixed,50,k-NN,s008,0.0908529433493129,0.5048,1.0
session,fixed,50,k-NN,s010,0.05277834438947114,0.3168,1.0
session,fixed,50,k-NN,s011,0.049494954983069786,0.6848,0.8300000000000001
session,fixed,50,k-NN,s012,0.051599979319087365,0.2952,1.0
session,fixed,50,k-NN,s013,0.10032822967914634,0.46319999999999995,1.0
session,fixed,50,k-NN,s015,0.11213145108680225,0.8488,0.8400000000000001
session,fixed,50,k-NN,s016,0.2340468283214204,1.0,0.9400000000000001
session,fixed,50,k-NN,s017,0.0505425778290325,1.0,0.8099999999999999
session,fixed,50,k-NN,s018,0.07979628755639592,0.7824,0.734
session,fixed,50,k-NN,s019,0.03646821836571347,0.8656,0.6140000000000001
session,fixed,50,k-NN,s020,0.1406349725543274,1.0,0.9339999999999999
session,fixed,50,k-NN,s021,0.10936140891506285,0.6744,0.812
session,fixed,50,k-NN,s022,0.018595271855820456,0.0416,0.41600000000000004
session,fixed,50,k-NN,s024,0.03236947330859648,0.1096,0.654
session,fixed,50,k-NN,s025,0.04386945695580683,0.8528,0.6359999999999999
session,fixed,50,k-NN,s026,0.10269874196538775,0.45840000000000003,1.0
session,fixed,50,k-NN,s027,0.05762889851932105,0.22080000000000002,0.8379999999999999
session,fixed,50,k-NN,s028,0.0795008429043219,0.8815999999999999,0.6719999999999999
session,fixed,50,k-NN,s029,0.12370702623648919,0.7912,1.0
session,fixed,50,k-NN,s030,0.045247742091555486,0.46480000000000005,0.63
session,fixed,50,k-NN,s031,0.1697905735022424,1.0,1.0
session,fixed,50,k-NN,s032,0.22006155311824616,0.9488,0.8320000000000001
session,fixed,50,k-NN,s033,0.0329075708285876,0.44720000000000004,0.49399999999999994
session,fixed,50,k-NN,s034,0.11567982701633317,1.0,1.0
session,fixed,50,k-NN,s035,0.1260895544058293,0.7976,0.662
session,fixed,50,k-NN,s036,0.00551209269772144,0.2048,0.202
session,fixed,50,k-NN,s037,0.22571165422183875,0.8648,1.0
session,fixed,50,k-NN,s038,0.0628578079800072,0.8880000000000001,0.678
session,fixed,50,k-NN,s039,0.08389570827388804,0.6656,0.638
session,fixed,50,k-NN,s040,0.06435507409659294,0.4880000000000001,0.6299999999999999
session,fixed,50,k-NN,s041,0.06425279560328533,0.6648,1.0
session,fixed,50,k-NN,s042,0.02634446599152483,0.6736000000000001,0.04800000000000002
session,fixed,50,k-NN,s043,0.037761982909090296,0.25200000000000006,0.8099999999999999
session,fixed,50,k-NN,s044,0.05250821864104234,0.15360000000000001,0.6559999999999999
session,fixed,50,k-NN,s046,0.09502190699414276,0.7167999999999999,0.8719999999999999
session,fixed,50,k-NN,s047,0.11979543115707822,0.892,0.55
session,fixed,50,k-NN,s048,0.09964495696427841,0.5432,0.8620000000000001
session,fixed,50,k-NN,s049,0.021702934201348528,0.2528,0.25999999999999995
session,fixed,50,k-NN,s050,0.1396294501527126,0.7,0.808
session,fixed,50,k-NN,s051,0.07777822222307762,0.6272,0.696
session,fixed,50,k-NN,s052,0.011564195664337334,0.8048,0.40599999999999986
session,fixed,50,k-NN,s053,0.02345663504288805,0.6656000000000001,0.040000000000000036
session,fixed,50,k-NN,s054,0.19078836886345713,0.9263999999999999,0.998
session,fixed,50,k-NN,s055,0.04309846867148256,0.18639999999999995,1.0
session,fixed,50,k-NN,s056,0.0632213728832159,0.7176,0.4
session,fixed,50,k-NN,s057,0.118004536366396,0.9032,0.9179999999999999
session,fixed,50,LDA,s002,0.1708,0.9119999999999999,0.868
session,fixed,50,LDA,s003,0.04640000000000001,0.1808,0.27
session,fixed,50,LDA,s004,0.08199999999999999,0.34640000000000004,0.5820000000000001
session,fixed,50,LDA,s005,0.0972,0.45360000000000006,0.8039999999999999
session,fixed,50,LDA,s007,0.14240000000000003,0.8008,0.9059999999999999
session,fixed,50,LDA,s008,0.17279999999999998,0.6504000000000001,0.968
session,fixed,50,LDA,s010,0.04880000000000001,0.2536,0.664
session,fixed,50,LDA,s011,0.07520000000000002,0.37520000000000003,0.472
session,fixed,50,LDA,s012,0.0708,0.2024,0.6499999999999999
session,fixed,50,LDA,s013,0.08079999999999997,0.2864,0.732
session,fixed,50,LDA,s015,0.1992,0.716,0.852
session,fixed,50,LDA,s016,0.12679999999999997,0.3064,0.9339999999999999
session,fixed,50,LDA,s017,0.0536,0.43200000000000005,0.384
session,fixed,50,LDA,s018,0.08719999999999999,0.37360000000000004,0.434
session,fixed,50,LDA,s019,0.07440000000000002,0.38,0.7839999999999999
session,fixed,50,LDA,s020,0.1368,0.36960000000000004,0.826
session,fixed,50,LDA,s021,0.154,0.7144,0.9179999999999999
session,fixed,50,LDA,s022,0.026800000000000008,0.0504,0.45999999999999996
session,fixed,50,LDA,s024,0.042800000000000005,0.1592,0.438
session,fixed,50,LDA,s025,0.0416,0.3408,0.6759999999999999
session,fixed,50,LDA,s026,0.2088,0.6407999999999999,1.0
session,fixed,50,LDA,s027,0.08479999999999999,0.4824,0.748
session,fixed,50,LDA,s028,0.08759999999999997,0.3536,0.5660000000000001
session,fixed,50,LDA,s029,0.1132,0.4784,0.9339999999999999
session,fixed,50,LDA,s030,0.045600000000000016,0.8311999999999999,0.8039999999999999
session,fixed,50,LDA,s031,0.18,0.7615999999999999,0.946
session,fixed,50,LDA,s032,0.23479999999999998,0.8784000000000001,0.9020000000000001
session,fixed,50,LDA,s033,0.03320000000000001,0.1472,0.21799999999999997
session,fixed,50,LDA,s034,0.09,0.7096,0.4680000000000001
session,fixed,50,LDA,s035,0.1244,0.7544000000000001,0.766
session,fixed,50,LDA,s036,0.01160000000000001,0.1072,0.014000000000000012
session,fixed,50,LDA,s037,0.16440000000000002,0.6728,0.9559999999999998
session,fixed,50,LDA,s038,0.06559999999999999,0.924,0.712
session,fixed,50,LDA,s039,0.060799999999999986,0.5359999999999999,0.752
session,fixed,50,LDA,s040,0.042400000000000014,0.1936,0.28600000000000003
session,fixed,50,LDA,s041,0.0412,0.1152,0.554
session,fixed,50,LDA,s042,0.0312,0.1008,0.2
session,fixed,50,LDA,s043,0.026000000000000006,0.0416,0.368
session,fixed,50,LDA,s044,0.11240000000000001,0.5168,0.7020000000000001
session,fixed,50,LDA,s046,0.10199999999999998,0.296,0.8640000000000001
session,fixed,50,LDA,s047,0.094,0.9096,0.47800000000000004
session,fixed,50,LDA,s048,0.14200000000000002,0.5616,0.9960000000000001
session,fixed,50,LDA,s049,0.04800000000000001,0.23440000000000003,0.48600000000000004
session,fixed,50,LDA,s050,0.1172,0.624,0.8719999999999999
session,fixed,50,LDA,s051,0.076,0.6144000000000001,0.762
session,fixed,50,LDA,s052,0.012800000000000002,0.5392,0.05600000000000001
session,fixed,50,LDA,s053,0.04360000000000002,0.28400000000000003,0.32599999999999996
session,fixed,50,LDA,s054,0.2508,0.8423999999999999,0.998
session,fixed,50,LDA,s055,0.027600000000000006,0.1264,0.2800000000000001
session,fixed,50,LDA,s056,0.07120000000000001,0.4231999999999999,0.392
session,fixed,50,LDA,s057,0.15440000000000004,0.6975999999999999,0.866
