N,classifier,subject,selected_params
50,MLP,s004,"{""alpha"": 0.0001, ""h"": 32}"
50,MLP,s005,"{""alpha"": 0.0001, ""h"": 32}"
50,MLP,s007,"{""alpha"": 0.0001, ""h"": 32}"
50,MLP,s008,"{""alpha"": 0.0001, ""h"": 64}"
50,MLP,s010,"{""alpha"": 0.0001, ""h"": 32}"
50,MLP,s011,"{""alpha"": 0.0001, ""h"": 32}"
50,MLP,s012,"{""alpha"": 0.0001, ""h"": 32}"
50,MLP,s013,"{""alpha"": 0.0001, ""h"": 32}"
50,MLP,s015,"{""alpha"": 0.0001, ""h"": 32}"
50,MLP,s016,"{""alpha"": 0.0001, ""h"": 64}"
50,MLP,s017,"{""alpha"": 0.0001, ""h"": 32}"
50,MLP,s018,"{""alpha"": 0.0001, ""h"": 128}"
50,MLP,s019,"{""alpha"": 0.0001, ""h"": 128}"
50,MLP,s020,"{""alpha"": 0.0001, ""h"": 128}"
50,MLP,s021,"{""alpha"": 0.0001, ""h"": 64}"
50,MLP,s022,"{""alpha"": 0.0001, ""h"": 128}"
50,MLP,s024,"{""alpha"": 0.0001, ""h"": 32}"
50,MLP,s025,"{""alpha"": 0.0001, ""h"": 64}"
50,MLP,s026,"{""alpha"": 0.0001, ""h"": 32}"
50,MLP,s027,"{""alpha"": 0.0001, ""h"": 128}"
50,MLP,s028,"{""alpha"": 0.0001, ""h"": 32}"
50,MLP,s029,"{""alpha"": 0.0001, ""h"": 128}"
50,MLP,s030,"{""alpha"": 0.0001, ""h"": 128}"
50,MLP,s031,"{""alpha"": 0.0001, ""h"": 32}"
50,MLP,s032,"{""alpha"": 0.0001, ""h"": 128}"
50,MLP,s033,"{""alpha"": 0.0001, ""h"": 32}"
50,MLP,s034,"{""alpha"": 0.0001, ""h"": 32}"
50,MLP,s035,"{""alpha"": 0.0001, ""h"": 32}"
50,MLP,s036,"{""alpha"": 0.0001, ""h"": 64}"
50,MLP,s037,"{""alpha"": 0.0001, ""h"": 32}"
50,MLP,s038,"{""alpha"": 0.0001, ""h"": 128}"
50,MLP,s039,"{""alpha"": 0.0001, ""h"": 128}"
50,MLP,s040,"{""alpha"": 0.0001, ""h"": 32}"
50,MLP,s041,"{""alpha"": 0.0001, ""h"": 64}"
50,MLP,s042,"{""alpha"": 0.0001, ""h"": 64}"
50,MLP,s043,"{""alpha"": 0.0001, ""h"": 64}"
50,MLP,s044,"{""alpha"": 0.0001, ""h"": 32}"
50,MLP,s046,"{""alpha"": 0.0001, ""h"": 128}"
50,MLP,s047,"{""alpha"": 0.0001, ""h"": 128}"
