seed,subject,classifier,pca_components,eer_pct
2,15,LDA,10,28.717948717948715
2,15,k-NN,20,1.5126050420168098
2,15,LDA,20,3.076923076923077
2,15,k-NN,40,1.5000000000000062
2,15,LDA,40,0.0
2,15,k-NN,80,1.9834710743801685
2,15,LDA,80,0.0
2,15,k-NN,150,1.5000000000000062
2,15,LDA,150,0.0
2,16,k-NN,10,1.975308641975309
2,16,LDA,10,3.076923076923077
2,16,k-NN,20,0.5000000000000002
2,16,LDA,20,0.0
2,16,k-NN,40,0.0
2,16,LDA,40,0.0
2,16,k-NN,80,0.0
2,16,LDA,80,0.0
2,16,k-NN,150,0.0
2,16,LDA,150,0.0
2,17,k-NN,10,28.782287822878228
2,17,LDA,10,9.230769230769232
2,17,k-NN,20,29.1044776119403
2,17,LDA,20,4.615384615384616
2,17,k-NN,40,28.996282527881046
2,17,LDA,40,3.076923076923077
2,17,k-NN,80,29.21348314606742
2,17,LDA,80,0.0
2,17,k-NN,150,29.21348314606742
2,17,LDA,150,0.0
2,18,k-NN,10,0.0
2,18,LDA,10,3.076923076923077
2,18,k-NN,20,0.5102040816326506
2,18,LDA,20,0.5128205128205132
2,18,k-NN,40,0.0
2,18,LDA,40,0.0
2,18,k-NN,80,0.0
2,18,LDA,80,0.0
2,18,k-NN,150,0.0
2,18,LDA,150,0.0
2,19,k-NN,10,16.88311688311688
2,19,LDA,10,14.358974358974358
2,19,k-NN,20,16.95652173913043
2,19,LDA,20,20.0
2,19,k-NN,40,16.88311688311688
2,19,LDA,40,20.0
2,19,k-NN,80,2.272727272727273
2,19,LDA,80,20.0
2,19,k-NN,150,2.666666666666667
2,19,LDA,150,17.94871794871795
2,20,k-NN,10,0.9756097560975601
2,20,LDA,10,0.0
2,20,k-NN,20,0.0
2,20,LDA,20,0.0
2,20,k-NN,40,0.0
2,20,LDA,40,0.0
2,20,k-NN,80,0.0
2,20,LDA,80,0.0
2,20,k-NN,150,0.0
2,20,LDA,150,0.0
2,21,k-NN,10,0.5000000000000002
2,21,LDA,10,2.0512820512820515
2,21,k-NN,20,0.0
2,21,LDA,20,0.0
2,21,k-NN,40,0.0
2,21,LDA,40,0.0
2,21,k-NN,80,0.0
2,21,LDA,80,0.0
2,21,k-NN,150,0.0
2,21,LDA,150,0.0
2,22,k-NN,10,0.0
2,22,LDA,10,2.0512820512820515
2,22,k-NN,20,0.0
2,22,LDA,20,0.5128205128205132
2,22,k-NN,40,0.0
2,22,LDA,40,2.564102564102564
2,22,k-NN,80,0.0
2,22,LDA,80,0.5128205128205132
2,22,k-NN,150,0.0
2,22,LDA,150,7.6923076923076925
2,23,k-NN,10,2.3255813953488365
2,23,LDA,10,11.794871794871794
2,23,k-NN,20,2.3255813953488365
2,23,LDA,20,5.6410256410256405
2,23,k-NN,40,2.7272727272727266
2,23,LDA,40,0.0
2,23,k-NN,80,0.5063291139240491
2,23,LDA,80,0.0
2,23,k-NN,150,1.0000000000000004
2,23,LDA,150,0.0
2,24,k-NN,10,0.9999999999999991
2,24,LDA,10,0.0
2,24,k-NN,20,0.0
2,24,LDA,20,0.5128205128205132
2,24,k-NN,40,0.0
2,24,LDA,40,0.0
2,24,k-NN,80,0.0
2,24,LDA,80,0.0
2,24,k-NN,150,0.0
2,24,LDA,150,0.0
