subject,classifier,pca_components,eer_pct,split_sd_pct,n_splits
37,LDA,40,3.1794871794871797,6.17186346290317,10
37,LDA,80,1.5384615384615383,3.6342378846956067,10
37,LDA,150,1.4358974358974357,2.6679812670258696,10
37,k-NN,10,6.151857201639897,15.626011641426025,10
37,k-NN,20,5.689489971784683,15.73328884909438,10
37,k-NN,40,5.744888590742624,15.703788847638059,10
37,k-NN,80,5.689489971784683,15.73328884909438,10
37,k-NN,150,5.5931936754883855,15.75476315642916,10
38,LDA,10,9.846153846153847,4.953137096595415,10
38,LDA,20,3.076923076923077,3.3409949206311214,10
38,LDA,40,3.7435897435897436,4.6503895712708525,10
38,LDA,80,0.30769230769230765,0.5512654870631486,10
38,LDA,150,0.8205128205128205,1.746603729838605,10
38,k-NN,10,4.871732247157274,6.466016812096547,10
38,k-NN,20,1.6251307438384424,1.0466303108186619,10
38,k-NN,40,1.3957293769654568,0.9116523706854254,10
38,k-NN,80,1.306260352845426,1.0331404501851247,10
38,k-NN,150,1.3540382664088875,0.9830737603469059,10
39,LDA,10,3.5384615384615388,0.9502182639102423,10
39,LDA,20,1.2307692307692306,1.2837595456764843,10
39,LDA,40,0.3076923076923077,0.6486723405473598,10
39,LDA,80,0.4102564102564104,0.9609209793200135,10
39,LDA,150,0.15384615384615383,0.34612746549259116,10
39,k-NN,10,6.005697710414635,7.55951613685781,10
39,k-NN,20,2.661133980998591,5.04211586457324,10
39,k-NN,40,0.4379790940766548,0.5798647591784771,10
39,k-NN,80,1.7666666666666664,5.244750461881614,10
39,k-NN,150,1.7666666666666664,5.244750461881614,10
40,LDA,10,13.948717948717947,6.34922513381273,10
40,LDA,20,14.974358974358974,10.693807242131884,10
40,LDA,40,10.307692307692308,8.259966320249676,10
40,LDA,80,9.743589743589743,8.951129888263964,10
40,LDA,150,12.051282051282051,9.585613931725867,10
40,k-NN,10,15.068436056158408,12.809795695826065,10
40,k-NN,20,13.916223075030308,13.13850855093894,10
40,k-NN,40,14.164516743467027,13.007460788218978,10
40,k-NN,80,15.158740134238176,12.868384971565353,10
40,k-NN,150,16.455380326432753,12.222421963905926,10
